,word1,word2,similarity
0,happen,say,0.19
1,makes,produced,0.72
2,established,make,0.48
3,calling,say,0.53
4,developed,considers,0.24
5,organising,developed,0.35
6,causes,allows,0.48
7,requiring,organising,0.27
8,made,set,0.39
9,gave,shows,0.43
10,giving,produces,0.36
11,rise,made,0.23
12,seemed,find,0.35
13,form,employ,0.19
14,refuses,protect,0.23
15,produced,reports,0.31
16,gives,employed,0.16
17,sets,starting,0.19
18,organising,shown,0.21
19,works,causes,0.3
20,using,calls,0.19
21,causes,used,0.13
22,affecting,works,0.31
23,cause,starts,0.53
24,strike,form,0.14
25,considering,leading,0.2
26,refuses,refused,0.79
27,affected,reported,0.29
28,show,use,0.18
29,work,allow,0.31
30,starts,requires,0.19
31,gives,produced,0.4
32,exist,produced,0.19
33,starts,set,0.31
34,employed,helping,0.185
35,affected,created,0.22
36,produces,starts,0.37
37,happens,produce,0.23
38,using,employed,0.33
39,establishing,increasing,0.3
40,seemed,seems,0.73
41,increasing,start,0.18
42,said,considering,0.16
43,allow,make,0.27
44,led,established,0.35
45,calling,reported,0.26
46,found,taken,0.25
47,says,set,0.31
48,happens,continue,0.22
49,reducing,works,0.14
50,shows,produced,0.3
51,report,creating,0.14
52,considers,says,0.33
53,created,work,0.19
54,affecting,protect,0.24
55,providing,showing,0.58
56,happening,affected,0.22
57,says,shows,0.4
58,given,working,0.18
59,affect,happen,0.27
60,requires,exists,0.32
61,affecting,helping,0.28
62,making,establishing,0.59
63,applies,cause,0.23
64,found,take,0.26
65,organising,produced,0.24
66,providing,reported,0.38
67,calls,help,0.25
68,refusing,apply,0.13
69,setting,finds,0.16
70,organise,used,0.16
71,considers,allows,0.3
72,allowed,sets,0.26
73,led,organised,0.26
74,helped,starts,0.18
75,recognise,considered,0.34
76,makes,increases,0.25
77,given,showing,0.29
78,creating,exist,0.33
79,happened,showed,0.37
80,starts,refused,0.07
81,establish,creating,0.39
82,employ,affect,0.26
83,working,developing,0.46
84,take,providing,0.11
85,required,considers,0.2
86,affecting,use,0.18
87,recognise,provide,0.17
88,produced,provides,0.3
89,showed,apply,0.26
90,setting,showing,0.35
91,happening,shown,0.21
92,given,use,0.17
93,said,allow,0.14
94,employ,applied,0.22
95,works,dismiss,0.13
96,showing,showed,0.7
97,employ,makes,0.3
98,take,includes,0.19
99,refused,provide,0.15
100,affected,apply,0.22
101,concerned,provides,0.15
102,included,allows,0.27
103,produce,lead,0.23
104,produce,dismiss,0.07
105,find,given,0.26
106,protected,exist,0.13
107,dismiss,finding,0.09
108,found,happen,0.21
109,give,working,0.13
110,reducing,increased,0.08
111,take,considered,0.18
112,employed,applied,0.2
113,pay,includes,0.15
114,including,refuses,0.1
115,strike,says,0.19
116,report,starting,0.14
117,included,increased,0.15
118,continued,says,0.12
119,affect,organising,0.11
120,establishing,gives,0.13
121,provide,including,0.19
122,said,included,0.21
123,develop,makes,0.56
124,refusing,allows,0.14
125,paid,seems,0.13
126,establishing,including,0.28
127,seem,said,0.24
128,seem,called,0.18
129,happens,require,0.21
130,use,working,0.19
131,take,leading,0.13
132,working,worked,0.78
133,refusing,exist,0.09
134,establish,requires,0.18
135,allows,employ,0.17
136,increased,reported,0.2
137,seemed,protects,0.1
138,seems,allowed,0.13
139,lead,require,0.2
140,affect,showed,0.21
141,pay,led,0.18
142,made,affect,0.23
143,employ,using,0.33
